room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
11156.0,-33.86916827,151.2265622,1.0,1.0,1.0,1.0,300.0,60.0,2.0,339.0,177.0,92.0,65.0,3203.0,0.0,1.0
14250.0,-33.80092903,151.2617222,6.0,3.0,3.0,3.0,900.0,100.0,5.0,168.0,1.0,100.0,469.0,3145.0,1.0,0.0
14935.0,-33.89076547,151.20045,2.0,1.0,1.0,1.0,300.0,60.0,2.0,215.0,172.0,89.0,63.0,3135.0,1.0,0.0
14974.0,-33.88966726,151.2008961,1.0,2.0,1.0,1.0,300.0,60.0,2.0,287.0,147.0,90.0,39.0,3135.0,1.0,0.0
20865.0,-33.85907161,151.1727532,8.0,2.0,4.0,4.0,800.0,60.0,7.0,175.0,15.0,96.0,451.0,3116.0,1.0,1.0
26174.0,-33.88908693,151.259404,2.0,1.0,1.0,1.0,300.0,20.0,1.0,35.0,38.0,94.0,65.0,2995.0,1.0,0.0
49698.0,-33.89739307,151.2710288,4.0,1.0,2.0,3.0,500.0,150.0,2.0,233.0,12.0,94.0,190.0,2988.0,1.0,0.0
56842.0,-33.88963273,151.2835531,4.0,1.0,2.0,2.0,500.0,130.0,2.0,152.0,16.0,79.0,225.0,2988.0,1.0,0.0
58506.0,-33.81926802,151.2365249,4.0,1.0,1.0,4.0,300.0,60.0,2.0,269.0,218.0,90.0,139.0,2942.0,1.0,0.0
58954.0,-33.8917631,151.2425934,8.0,2.0,4.0,5.0,300.0,60.0,7.0,365.0,0.0,96.0,1045.0,2850.0,1.0,0.0
63795.0,-33.62612146,151.3315109,2.0,1.0,0.0,1.0,600.0,45.0,2.0,316.0,46.0,96.0,150.0,2941.0,1.0,0.0
65126.0,-33.88568974,151.2688649,4.0,1.0,2.0,2.0,300.0,100.0,4.0,14.0,11.0,89.0,111.0,2756.0,0.0,0.0
65635.0,-33.81078887,151.1607206,5.0,1.5,1.0,3.0,0.0,10.0,1.0,52.0,150.0,96.0,55.0,2753.0,1.0,1.0
65857.0,-33.90396449,151.1912368,2.0,1.0,1.0,1.0,300.0,20.0,2.0,52.0,81.0,93.0,76.0,2752.0,1.0,0.0
66009.0,-33.88327146,151.2272471,4.0,1.0,1.0,2.0,300.0,25.0,3.0,0.0,1.0,100.0,100.0,2751.0,0.0,0.0
67112.0,-33.9149957,151.1402996,4.0,2.0,2.0,2.0,300.0,60.0,3.0,363.0,22.0,96.0,76.0,2916.0,1.0,0.0
67295.0,-33.70443751,150.9421709,2.0,1.0,1.0,1.0,300.0,20.0,1.0,365.0,1.0,100.0,90.0,2739.0,0.0,0.0
68999.0,-33.72990442,151.0513802,4.0,3.5,2.0,3.0,300.0,60.0,2.0,277.0,39.0,98.0,89.0,2679.0,1.0,1.0
71866.0,-33.90917477,151.2523073,4.0,1.0,2.0,2.0,500.0,300.0,2.0,180.0,1.0,100.0,210.0,2780.0,1.0,0.0
73628.0,-33.8867195,151.2665571,2.0,1.0,1.0,1.0,0.0,100.0,3.0,24.0,8.0,95.0,65.0,2464.0,1.0,0.0
